hour,weekday,count
0,0,5115
0,1,4936
0,2,4889
0,3,4463
0,4,4630
0,5,6179
0,6,6070
1,0,2874
1,1,2647
1,2,2600
1,3,2464
1,4,2559
1,5,3211
1,6,3301
2,0,1923
2,1,1905
2,2,1857
2,3,1828
2,4,1853
2,5,2401
2,6,2368
3,0,1329
3,1,1429
3,2,1450
3,3,1329
3,4,1322
3,5,1677
3,6,1682
4,0,998
4,1,1006
4,2,1036
4,3,977
4,4,964
4,5,1288
4,6,1145
5,0,879
5,1,870
5,2,818
5,3,757
5,4,785
5,5,967
5,6,1000
6,0,1020
6,1,989
6,2,1231
6,3,923
6,4,925
6,5,1256
6,6,1176
7,0,2750
7,1,2490
7,2,2648
7,3,2330
7,4,2477
7,5,3255
7,6,2882
8,0,6695
8,1,6745
8,2,6697
8,3,6313
8,4,6563
8,5,7647
8,6,7294
9,0,9252
9,1,9316
9,2,8641
9,3,8759
9,4,9016
9,5,11005
9,6,10076
10,0,9039
10,1,9142
10,2,8694
10,3,8550
10,4,8610
10,5,10692
10,6,10450
11,0,9406
11,1,9663
11,2,9038
11,3,9110
11,4,9279
11,5,10181
11,6,10913
12,0,15697
12,1,15964
12,2,14935
12,3,14419
12,4,14474
12,5,14731
12,6,16125
13,0,12896
13,1,13182
13,2,12895
13,3,12531
13,4,13199
13,5,19931
13,6,21785
14,0,11787
14,1,12086
14,2,11831
14,3,11634
14,4,12847
14,5,18259
14,6,21069
15,0,10545
15,1,10526
15,2,10229
15,3,9768
15,4,13997
15,5,14442
15,6,16031
16,0,10035
16,1,9886
16,2,9816
16,3,9345
16,4,13669
16,5,13158
16,6,12828
17,0,10489
17,1,10345
17,2,10653
17,3,9988
17,4,12422
17,5,11632
17,6,10118
18,0,12456
18,1,13015
18,2,12641
18,3,12233
18,4,13673
18,5,14070
18,6,11895
19,0,13686
19,1,13714
19,2,13222
19,3,13129
19,4,15529
19,5,16977
19,6,13932
20,0,11290
20,1,11012
20,2,11076
20,3,10790
20,4,12842
20,5,14342
20,6,11908
21,0,8472
21,1,8315
21,2,8487
21,3,8025
21,4,9914
21,5,10867
21,6,9031
22,0,6189
22,1,6173
22,2,6132
22,3,6120
22,4,7752
22,5,8424
22,6,6438
23,0,4780
23,1,4819
23,2,4620
23,3,4701
23,4,5918
23,5,6456
23,6,4907
